N°,Match,Equipe1,Equipe2,League,Pick,Double,Prob_1,Prob_X,Prob_2,Confidence,Comment
1,Atletico Madrid vs Barcelona,Atletico Madrid,Barcelona,Spain,,,32,24,42,,Imported from WEB_DATABASE.xlsx
2,Real Mallorca vs Real Madrid,Real Mallorca,Real Madrid,Spain,,,20,22,57,,Imported from WEB_DATABASE.xlsx
3,Real Betis vs Espanyol,Real Betis,Espanyol,Spain,,,54,23,22,,Imported from WEB_DATABASE.xlsx
4,Stuttgart vs Borussia Dortmund,Stuttgart,Borussia Dortmund,Germany,,,41,23,35,,Imported from WEB_DATABASE.xlsx
5,Freiburg vs Bayern Munich,Freiburg,Bayern Munich,Germany,,,16,19,63,,Imported from WEB_DATABASE.xlsx
6,Werder Bremen vs RB Leipzig,Werder Bremen,RB Leipzig,Germany,,,29,24,46,,Imported from WEB_DATABASE.xlsx
7,Hamburg vs Augsburg,Hamburg,Augsburg,Germany,,,42,26,31,,Imported from WEB_DATABASE.xlsx
8,Hoffenheim vs Mainz,Hoffenheim,Mainz,Germany,,,52,23,24,,Imported from WEB_DATABASE.xlsx
9,Strasbourg vs Nice,Strasbourg,Nice,France,,,50,24,24,,Imported from WEB_DATABASE.xlsx
10,Brest vs Stade Rennais,Brest,Stade Rennais,France,,,32,26,41,,Imported from WEB_DATABASE.xlsx
11,Lille vs Lens,Lille,Lens,France,,,36,27,35,,Imported from WEB_DATABASE.xlsx
12,Lazio vs Parma,Lazio,Parma,Italy,,,52,26,21,,Imported from WEB_DATABASE.xlsx
13,Verona vs Fiorentina,Verona,Fiorentina,Italy,,,25,26,48,,Imported from WEB_DATABASE.xlsx
